firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,experienceMeasure,experienceMeasurePage,performanceMeasure,performanceMeasurePage
Warnock,1997,The effect of health reform on surgical clerks' experience and performance,Exclude ,Criterion 1,,,,,,
Davidson,1997,"Affirmative action and other special consideration admissions at the University of California, Davis, School of Medicine",Exclude ,Criterion 1,,,,,,
Malloy,1998,A comparison of performance between third-year students completing a pediatric ambulatory rotation on campus vs in the community,Exclude ,Criterion 1,,,,,,
Lynch,1998,Learning style influences student examination performance,Exclude ,Criterion 3,,,,,,
Mangione-Smith,1998,Assessing the quality of healthcare provided to children,Exclude ,Criterion 4,,,,,,
Coyle,1998,"The practice of system dynamics: milestones, lessons and ideas from 30 years experience",Exclude ,Criterion 3,,,,,,
Ciatto,1999,Proficiency test for screening mammography: results for 117 volunteer Italian radiologists,Further Review,,yes,,"Italian radiologists of varying experience (years of practice 0.5–18, average 5.9; mammograms read 500– 51 000, average 13 000), all currently reporting clinical mammography and planning to take part in screening in the near future.",149,"When running the test, operators had to report the following on a predefined proforma: (a) the progressive number, and (b) the side (right or left) of cases in which they identified abnormalities prompting referral for further diagnostic assessment. Indicators of test performance were sensitivity (SENS = proportion of cancer cases referred) and referral rate",149
Chang,1999,The utility of exercise testing after cardiac transplantation in older patients,Exclude ,Criterion 4,,,,,,
Guest,1999,Limitations of student evaluations of curriculum,Exclude ,Criterion 2,,,,,,
Brush,1999,Businesses without glamour? An analysis of resources on performance by size and age in small service and retail firms,Exclude ,Criterion 1,,,,,,
Carter,1999,"Carter-Thomason uterine suspension and positioning by ligament investment, fixation and truncation",Exclude ,Criterion 4,,,,,,
Hulsman,1999,Teaching clinically experienced physicians communication skills. A review of evaluation studies,Exclude ,Criterion 1,,,,,,
Altman,2000,Worst-case rate-based flow control with an ARMA model of the available bandwidth,Exclude ,Criterion 4,,,,,,
Turnbull,2000,Clinical work sampling - A new approach to the problem of in-training evaluation,Exclude ,Criterion 1,,,,,,
Pinson,2000,Health-related quality of life after different types of solid organ transplantation,Exclude ,Criterion 4,,,,,,
Friel-Patti,2001,Case studies of children using Fast ForWord,Exclude ,Criterion 4,,,,,,
Lazarevic,2002,Adaptation of the gypsy moth to an unsuitable host plant,Exclude ,Criterion 4,,,,,,
Zarbo,2002,Q-Tracks - A College of American Pathologists program of continuous laboratory monitoring and longitudinal performance tracking,Exclude ,Criterion 1,,,,,,
Legros,2002,The Chilean legacies in health care quality,Exclude ,Criterion 4,,,,,,
Barnes,2003,A longitudinal study of cardiorespiratory fitness and cognitive function in healthy older adults,Exclude ,Criterion 4,,,,,,
Dorrian,2003,The ability to self-monitor performance during a week of simulated night shifts,Exclude ,Criterion 1,,,,,,
Bond,2003,"The role of acceptance and job control in mental health, job satisfaction, and work performance",Exclude ,Criterion 3,,,,,,
Jones,2004,A review of crucial developments in the design of high speed machinery for manufacturing applications over the last half century,Exclude ,Criterion 4,,,,,,
Lin,2004,Community rehabilitation for older adults with osteoarthritis of the lower limb: a controlled clinical trial,Exclude ,Criterion 4,,,,,,
Landon,2004,Comparison of performance of traditional Medicare vs Medicare managed care,Exclude ,Criterion 4,,,,,,
Ringsted,2004,Educational impact of in-training assessment (ITA) in postgraduate medical education: a qualitative study of an ITA programme in actual practice,Exclude ,Criterion 1,,,,,,
Munz,2004,Ceiling effect in technical skills of surgical residents,Further Review,,yes,,Fifteen junior trainees (years 1 to 3) and 15 senior (years 4 to 6) were asked to perform a series of bench-model tasks,294,"a series of bench-model tasks, whichincluded knot-tie at depth, vertical mattress suturing, sebaceous cyst excision, small bowel anastomosis, and saphenofemoral junctiondissection. Analysis of performance included the Imperial College Surgical Assessment Device",294
Critchley,2004,Evaluation of abnormal uterine bleeding: comparison of three outpatient procedures within cohorts defined by age and menopausal status,Exclude ,Criterion 4,,,,,,
Weidner,2004,"Development of standards and criteria for the selection, training, and evaluation of athletic training approved clinical instructors",Exclude ,Criterion 2,,,,,,
Hill,2005,Student and preceptor perception of performance in advanced pharmacy practice experiences,Exclude ,Criterion 2,,,,,,
Nemec,2005,Performance measurement in public administration: Selected theory and experience from Slovakia,Exclude ,Criterion 2,,,,,,
Waddington,2005,Drug use in English professional football,Exclude ,Criterion 4,,,,,,
Fortescue,2005,Comparison of modern steroid-eluting epicardial and thin transvenous pacemaker leads in pediatric and congenital heart disease patients,Exclude ,Criterion 4,,,,,,
Parry,2005,A video analysis of how physiotherapists communicate with patients about errors of performance: insights for practice and policy,Exclude ,Criterion 2,,,,,,
Niedermier,2006,"The junior medical student psychiatry clerkship: Curriculum, attitudes, and test performance",Exclude ,Criterion 3,,,,,,
McDougall,2006,Comparison of basic elements of human performance scores between urologists with various extents of experience,Further Review,,yes,,"Group A was 57 urology residency applicants to the 2002 and 2003 interview process at the University of California, Irvine, and The University of Texas Southwestern Medical Center at Dallas. Group B consisted of 8 post-internship urology residents at University of California, Irvine, in their first to fourth year of training. In addition, 80 postgraduate urologists were included",210,"All BEP testing was performed using 13 basic performance resources (BPR) which included visual-information processing speed, visual-spatial immediate-recall capacity, and neuromotor channel capacity",210
Crowe,2006,The Canadian Society of Clinical Chemists: Highlights of its first 50 years,Exclude ,Criterion 3,,,,,,
Green,2006,Residency training as technology matures: A survey of radiology residents' training experiences,Exclude ,Criterion 2,,,,,,
Combes,2006,Introduction of the intubating Laryngeal Mask Airway (TM) in a prehospital emergency medical unit,Exclude ,Criterion 3,,,,,,
Zubac,2007,Renal cell carcinoma: A clinicopathological follow-up study after radical nephrectomy,Exclude ,Criterion 4,,,,,,
Ruffin,2007,Long-term performance of Clarion 1.0 cochlear implant users,Exclude ,Criterion 4,,,,,,
Nunes,2007,The rise of independent regulation in health care,Exclude ,Criterion 1,,,,,,
Sampsel,2007,Methods to develop arthritis and osteoporosis measures: a view from the National Committee for Quality Assurance (NCQA),Exclude ,Criterion 1,,,,,,
Greenburg,2007,Identifying medical students likely to exhibit poor professionalism and knowledge during internship,Exclude ,Criterion 2,,,,,,
Berry,2008,The use of virtual reality for training in carotid artery stenting: A construct validation study,Further Review,,yes,,"Sixteen ‘‘experienced’’ interventional radiologists (15 males, one female; mean interventional radiology [IR] experience 11 years) and 16 fourth-year medical student ‘‘novices’’ (15 males, one female; no IR experience)",802,"The collected performance metrics included procedure time, fluoroscopic time, contrast volume, cine loops (number recorded), tool/lesion ratio, lesion coverage, placement accuracy, and residual stenosis",802
Rennert-Ariev,2008,The Hidden Curriculum of Performance-Based Teacher Education,Exclude ,Criterion 1,,,,,,
Wang,2008,Statistical Comparison of Passenger Trip Delay and Flight Delay Metrics,Exclude ,Criterion 1,,,,,,
Votanopoulos,2008,Impact of three-dimensional vision in laparoscopic training,Further Review,,yes,,"The inexperienced participants were defined as having B2 years of postgraduate training and having performed fewer than two basic laparoscopic procedures, whereas the experienced participants were defined as having [2 years of postgraduate training and having performed 15 to 120 laparoscopic procedures.",111,At the first testing session all participants were asked to perform the same six laparoscopic skills of varying degrees of complexity and requiring different levels of concentration and...,112
Levine,2008,Assessment of factors that affect the quality of performance and interpretation of sonography of adnexal masses,Further Review,,yes,,"Radiologists were grouped by the type of practice: (1) dedicated obstetric and gynecologic ultrasound specialists, (2) abdominal imagers with experience in ultrasound, or (3) general imagers or other nongynecologic imaging specialists...Each radiologist was grouped into 1 of 3 categories (<5, 5–10, and >10 years)",722,"Two blinded reviewers (D.L. and T.S.M., each with 8–11 years of experience in obstetric and gynecologic ultrasound) independently scored deidentified written reports as reporting or not reporting a malignancy.",722
De Jose Maria,2008,Ultrasound-guided supraclavicular vs infraclavicular brachial plexus blocks in children,Exclude ,Criterion 4,,,,,,
Dubovsky,2008,Can Admissions Interviews Predict Performance in Residency?,Exclude ,Criterion 3,,,,,,
Papanikolaou,2009,"Prospective, randomized comparison of mechanical and electronic radial endoscopic ultrasound systems: Assessment of performance parameters and image quality",Exclude ,Criterion 4,,,,,,
Cahnmann-Taylor,2009,The Art and Science of Educational Inquiry: Analysis of Performance-Based Focus Groups With Novice Bilingual Teachers,Exclude ,Criterion 3,,,,,,
Mir,2009,Vinorelbine and oxaliplatin in stage IV nonsmall cell lung cancer patients unfit for cisplatin: a single-center experience,Exclude ,Criterion 4,,,,,,
Clarke,2009,Water treatment systems for relief agencies: The on-going search for the 'Silver Bullet',Exclude ,Criterion 3,,,,,,
Del Mistro,2010,ASSESSING THE SUSTAINABILITY OF URBAN DEVELOPMENT,Exclude ,Criterion 3,,,,,,
Schout,2010,"Validation and implementation of surgical simulators: a critical review of present, past, and future",Exclude ,Criterion 3,,,,,,
Yuan,2010,Performance Objectives Selection Model in Public-Private Partnership Projects Based on the Perspective of Stakeholders,Exclude ,Criterion 3,,,,,,
Gogalniceanu,2010,Is Basic Emergency Ultrasound Training Feasible as Part of Standard Undergraduate Medical Education?,Further Review,,yes,,"Twenty-six students participated in the study. Seventy-six percent were final year students (undergraduate year 5) and 24% were first year clinical students (undergraduate year 3). Seventy-nine percent of students had no previous experience of ultrasound whatsoever, while 21% had some prior informal encounter with US",153,"All participants completed the formal 9-station OSCE. The mean average score achieved in the assessment was 11.2 out of 13 (86%), with a score range of 8-13 (61.5%-100%), and a mode average of 12 (92%).",153
Solanki,2010,Bispectral index-controlled postoperative sedation in cardiac surgery patients: a comparative trial between closed loop and manual administration of propofol,Exclude ,Criterion 4,,,,,,
Carlson,2010,Linking payment to health outcomes: A taxonomy and examination of performance-based reimbursement schemes between healthcare payers and manufacturers,Exclude ,Criterion 4,,,,,,
Friedman,2010,Curriculum Design of a Case-based Knowledge Translation Shift for Emergency Medicine Residents,Exclude ,Criterion 2,,,,,,
Reed,2010,Malignancy Detection in Digital Mammograms: Important Reader Characteristics and Required Case Numbers,Further Review,,yes,,mammographic screen readers (11); age varied between 26 and >56 years; years of experience reporting mammograms ranged from <1 year to >10 years; s,1409,"Each observer was asked to assess the same fifty patient cases consisting of four images, a craniocaudal and mediolateral oblique projection for each breast, all from women of 40 years or older. All images were collected by the state radiologist for New South Wales and the 15 abnormal cases contained a biopsy-proven single malignant lesion",1410
Wootton,2011,Experience with low-cost telemedicine in three different settings. Recommendations based on a proposed framework for network performance evaluation,Exclude ,Criterion 4,,,,,,
Beard,2011,Assessing the surgical skills of trainees in the operating theatre: a prospective observational study of the methodology,Exclude ,Criterion 1,,,,,,
Lukanen,2011,Effect of PG XX-34 on Transverse Cracking in Minnesota,Exclude ,Criterion 4,,,,,,
Livraghi,2011,Complete Response in 5 Out of 38 Patients with Advanced Hepatocellular Carcinoma Treated with Stem Cell Differentiation Stage Factors: Case Reports from a Single Centre,Exclude ,Criterion 4,,,,,,
Klazinga,2011,Health services research related to performance indicators and benchmarking in Europe,Exclude ,Criterion 3,,,,,,
Morgeson,2011,"Do they all perform alike? An examination of perceived performance, citizen satisfaction and trust with US federal agencies",Exclude ,Criterion 2,,,,,,
Ochsmann,2011,Stress and recovery in junior doctors,Exclude ,Criterion 2,,,,,,
Ramirez-Inscoe,2011,Processes That Influence Communicative Impairments in Deaf Children Using Cochlear Implants,Exclude ,Criterion 4,,,,,,
de Oliveira,2011,What do Patients Know about the Work of Anesthesiologists?,Exclude ,Criterion 2,,,,,,
Rutter,2012,Use of a General Level Framework to Facilitate Performance Improvement in Hospital Pharmacists in Singapore,Exclude ,Criterion 1,,,,,,
Wouda,2012,"The communication competency of medical students, residents and consultants",Further Review,,yes,,"Seventy-one students, twenty-five residents and fourteen consultants performed a ‘breaking bad news’ exercise with a simulated patient.",57,"Their communication competency was assessed with the CELI instrument. Actor assessments were also obtained. The differences in communication competency between students, residents and consultants were established.",57
Toosi,2012,Dyadic Interracial Interactions: A Meta-Analysis,Exclude ,Criterion 1,,,,,,
Giurgiu,2012,Measuring the Students' Satisfaction With the Romanian Higher Education Environment: The Case of Blended Learning System at the University of Oradea,Exclude ,Criterion 1,,,,,,
Schmidt,2012,"LEARNING RESOURCES, STUDENT PROJECTS, AND ASSESSMENTS AT WESTERN GOVERNORS UNIVERSITY: AN ONLINE, COMPETENCY-BASED APPROACH TO TEACHER EDUCATION IN THE UNITED STATES",Exclude ,Criterion 1,,,,,,
Gerbet,2012,ROTORDYNAMIC EVALUATION OF FULL SCALE ROTOR ON TILTING PAD BEARINGS WITH INTEGRAL SQUEEZE FILM DAMPERS,Exclude ,Criterion 4,,,,,,
Alabdulkarim,2012,AN ENDORSEMENT PLAN FOR THE DEVELOPMENT OF HUMAN RESOURCES OF THE QUALITY UNITS IN SAUDI HIGHER EDUCATION INSTITUTES,Exclude ,Criterion 3,,,,,,
Artino,2012,Does self-reported clinical experience predict performance in medical school and internship?,Further Review,,yes,,two groups (clinical experience versus no clinical experience).,172,"operationalised trainee performance in terms of five outcomes: cumulative medical school grade point average (GPA); US Medical Licensing Examination (USMLE) Step 1 and 2 scores, and scores on a validated programme director’s evaluation measuring intern expertise and professionalism. We then conducted a series of analyses of covariance to compare outcomes in applicants who self-reported previous clinical experience with outcomes in those who did not",172
Dougherty,2012,Popular but Unstable: Explaining Why State Performance Funding Systems in the United States Often Do Not Persist,Exclude ,Criterion 3,,,,,,
Casado Florez,2012,Health care quality and medical competencies in the practice of emergency medicine: on-scene job performance evaluation,Exclude ,Criterion 2,,,,,,
Williams,2012,Athletes' ease of imaging predicts their imagery and observational learning use,Exclude ,Criterion 3,,,,,,
Holt,2012,"Effects of peer-assessed feedback, goal setting and a group contingency on performance and learning by 10-12-year-old academy soccer players",Exclude ,Criterion 4,,,,,,
Jibson,2012,Clinical Skills Verification in General Psychiatry: Recommendations of the ABPN Task Force on Rater Training,Exclude ,Criterion 3,,,,,,
Mallidis,2012,Ten years' experience with an external quality control program for semen analysis,Exclude ,Criterion 1,,,,,,
Weber,2012,Implications of England's Four-Hour Target for Quality of Care and Resource Use in the Emergency Department,Exclude ,Criterion 3,,,,,,
Zakaria,2013,Overcoming Performance Anxiety among Music Undergraduates,Exclude ,Criterion 2,,,,,,
Demartini,2013,Managing sustainability through the IC practice lens,Exclude ,Criterion 3,,,,,,
Tamminen,2013,Exploring adversity and the potential for growth among elite female athletes,Exclude ,Criterion 3,,,,,,
Allen,2013,Free improvisation and performance anxiety among piano students,Exclude ,Criterion 4,,,,,,
Dougherty,2013,Accounting For Higher Education Accountability: Political Origins of State Performance Funding for Higher Education,Exclude ,Criterion 1,,,,,,
Causon,2013,Trends in Cochlear Implant Complications: Implications for Improving Long-Term Outcomes,Exclude ,Criterion 4,,,,,,
Osterberg,2013,Ways of Experiencing Participation and Factors Affecting the Activity Level After Nonreconstructed Anterior Cruciate Ligament Injury: A Qualitative Study,Exclude ,Criterion 4,,,,,,
Tobey,2013,Influence of implantation age on school-age language performance in pediatric cochlear implant users,Exclude ,Criterion 4,,,,,,
Hameed,2013,Child literacy and psychotic experiences in early adolescence: Findings from the ALSPAC study,Exclude ,Criterion 4,,,,,,
Lin,2013,Correlation of rater training and reliability in performance assessment: Experience in a school of dentistry,Exclude ,Criterion 1,,,,,,
Chalcarz,2013,Nutritional status in female basketball players at various levels of performance,Exclude ,Criterion 4,,,,,,
Elkoushy,2013,Determinants of Performance on the Transfer Task of the Basic Laparoscopic Urologic Surgery (BLUS (R)) Curriculum Administered at Objective Structured Clinical Examinations,Further Review,,yes,,"urology PGTs from Postgraduate Years (PGY) three to five from all four different urology training programs (A, B, C, and D) across the province of Quebec, Canada were recruited for the study. All urology training programs are 5 years in duration with years PGY-3 to PGY-5 spent in urology. Urology training program A has a dedicated laparoscopic skills training program, where PGTs are encouraged to practice on endotrainers available at each training hospital site. . . On the other hand, urology training programs B, C, and D do not have such laparoscopic skills training program",1149,", the transfer task consists of transferring six objects on a pegboard using two laparoscopic Maryland graspers (Ethicon, Endo-Surgery, Somerville, NJ). Six objects are placed on the left side of the pegboard",1149
Revenig,2013,Too Frail for Surgery? Initial Results of a Large Multidisciplinary Prospective Study Examining Preoperative Variables Predictive of Poor Surgical Outcomes,Exclude ,Criterion 4,,,,,,
Bandeira-Echtler,2014,Levothyroxine or minimally invasive therapies for benign thyroid nodules,Exclude ,Criterion 1,,,,,,
Evans,2014,Laser photocoagulation for proliferative diabetic retinopathy,Exclude ,Criterion 4,,,,,,
Nicholson,2014,Tracheal intubation with a flexible intubation scope versus other intubation techniques for obese patients requiring general anaesthesia,Exclude ,Criterion 4,,,,,,
Immonen,2014,Using performance measurement to assess research: Lessons learned from the international agricultural research centres,Exclude ,Criterion 1,,,,,,
Maruthappu,2014,Patient- and surgeon-adjusted control charts for monitoring performance,Exclude ,Criterion 3,,,,,,
Brinkman,2014,Results of the European Basic Laparoscopic Urological Skills Examination,Exclude ,Criterion 1,,,,,,
Mazel,2014,Long-term quality of life after en-bloc vertebrectomy: 25 patients followed up for 9 years,Exclude ,Criterion 4,,,,,,
Flatters,2014,Manual Control Age and Sex Differences in 4 to 11 Year Old Children,Exclude ,Criterion 4,,,,,,
Endrei,2014,The effect of performance-volume limit on the DRG based acute care hospital financing in Hungary,Exclude ,Criterion 3,,,,,,
Paterson,2014,What paramedics think about when they think about fatigue: Contributing factors,Exclude ,Criterion 3,,,,,,
Hogle,2014,Evaluation of surgical fellows' laparoscopic performance using Global Operative Assessment of Laparoscopic Skills (GOALS),Exclude ,Criterion 1,,,,,,
Maxfield,2014,Performance of Third-Year Medical Students on a Rural Family Medicine Clerkship,Exclude ,Criterion 1,,,,,,
Garg,2014,Curricular Factors Associated With Medical Students' Practice of the Skin Cancer Examination An Educational Enhancement Initiative by the Integrated Skin Exam Consortium,Exclude ,Criterion 1,,,,,,
Koufteros,2014,The effect of performance measurement systems on firm performance: A cross-sectional and a longitudinal study,Exclude ,Criterion 3,,,,,,
Nakhleh,2014,Fifteen Years' Experience of a College of American Pathologists Program for Continuous Monitoring and Improvement,Exclude ,Criterion 3,,,,,,
Piper,2015,Interventions for idiopathic intracranial hypertension,Exclude ,Criterion 4,,,,,,
Sequeira-Byron,2015,Single crowns versus conventional fillings for the restoration of root-filled teeth,Exclude ,Criterion 3,,,,,,
Horvathova,2015,ANALYSIS OF BSC APPLICATION IN SLOVAKIA,Exclude ,Criterion 3,,,,,,
Wilson,2015,Staring into the abyss? The state of UK rugby's Super League,Exclude ,Criterion 1,,,,,,
Rawashdeh,2015,Experience in reading digital images may decrease observer accuracy in mammography,Further Review,,no,,"numbers of years professionally qualified (r = 0.18; P< 0.05), number of years reading breast images (r = 0.24; P < 0.01), number of mammography images read per year (r = 0.28; P < 0.001) and number of hours reading mammographic images per week (r = 0.19; P < 0.04).",n/a,"Each reader was asked to identify and locate any malignancies using a 1-5 confidence scale. All images were displayed using 5MP monitors, supported by radiology workstations with full image manipulation capabilities. A jack-knife free-response receiver operating characteristic, figure of merit (JAFROC, FOM) methodology was employed to assess reader performance. Details were obtained from each reader regarding their experience, qualifications and breast reading activities.",n/a
Barnett,2015,Rater agreement of a test battery designed to assess adolescents' resistance training skill competency,Exclude ,Criterion 4,,,,,,
Moxley,2015,The Effects of Experience and Disuse on Crossword Solving,Exclude ,Criterion 4,,,,,,
Hunt,2015,Measuring Deficiencies in Nonprofit Management,Exclude ,Criterion 3,,,,,,
Khan,2015,Evaluation and enhancement of medical knowledge competency by monthly tests: a single institution experience,Exclude ,Criterion 3,,,,,,
Skoetz,2015,Prophylactic antibiotics or G(M)-CSF for the prevention of infections and improvement of survival in cancer patients receiving myelotoxic chemotherapy,Exclude ,Criterion 4,,,,,,
Busto,2015,COMPARATIVE STUDY OF RUBRICS FOR ASSESSMENT OF LABORATORY PRACTICES OF BIOCHEMISTRY. A PERSPECTIVE OF STUDENTS FROM DIFFERENT UNIVERSITY DEGREES,Exclude ,Criterion 1,,,,,,
Popescu,2015,THE ENTREPRENEUR'S ROLE IN THE PERFORMANCE GROWTH OF THE FINANCIAL AUDIT ACTIVITY IN ROMANIA,Exclude ,Criterion 1,,,,,,
Clegg,2015,The relative effectiveness of testers during field surveillance for bovine tuberculosis in unrestricted low-risk herds in Ireland,Exclude ,Criterion 3,,,,,,
Hernandez Ruiperez,2015,Design and validation of a clinical simulation method for teaching nurses to use the Emergency Severity Index for triage,Exclude ,Criterion 1,,,,,,
Meier,2015,Seven Q-Tracks Monitors of Laboratory Quality Drive General Performance Improvement Experience From the College of American Pathologists Q-Tracks Program 1999-2011,Exclude ,Criterion 4,,,,,,
Huang,2015,An Objective Assessment Tool for Basic Surgical Knot-Tying Skills,Further Review,,yes,,,573,"ssociative phase of skills acquisition. This kinesthetic curriculum is based on several foundational principles, including (1) precise suture manipulation techniques (gathering, sliding, and locking suture), (2) obtaining and securing an optimal “working distance” 4 to 6 inches from the knot, and (3) precise understanding of knot conformation",573
Shackelford,2015,Development and validation of trauma surgical skills metrics: Preliminary assessment of performance after training,Further Review,,yes,,"10 expert trauma surgeons (fellowship trained, 2Y40 years in practice, including the original four experts interviewed) performed the procedures on fresh cadavers and were audio-video recorded. . . The performance assessment tool was next used to evaluate a group of 10 novice surgeons",106,"Anatomic knowledge and procedure steps scores were binary yes/no answers for each knowledge response or step of the procedure, and surgical technique was evaluated on a Likert scale for each of 10 identified technical skills (Table 1). The scoring process was developed based on review of expert commentary made during performance of that procedure",106
Gupta,2015,"Malnutrition Treatment Centre in District Baran, Rajasthan Appraisal of Performance",Exclude ,Criterion 4,,,,,,
Mandava,2015,Stratification of Expert vs Novice Laparoscopists Using the Basic Laparoscopic Urologic Surgery (BLUS) Curriculum at a Single Institution,Further Review,,yes,,"fourth-year medical students, urology residents (postgraduate year 1-5), and staff attending surgeons from an academic institution were recruited. Participants were grouped by level of experience",964,evaluated on 4 different BLUS modules testing fundamental laparoscopic techniques from September 2012 to September 2013.,964
da Silva,2015,Primary Health Care Evaluation: the view of clients and professionals about the Family Health Strategy,Exclude ,Criterion 2,,,,,,
O'Leary,2015,Perspectives on Canadian core fellowship training in pediatric anesthesia: a survey of graduate fellows,Exclude ,Criterion 2,,,,,,
del Carmen Pamplona,2015,The effectiveness of mentoring speech and language pathology students when they face patients with cleft palate,Exclude ,Criterion 4,,,,,,
Jensen,2015,Performance monitoring of the arterial switch operation: a moving targPerformance monitoring of the arterial switch operation: a moving targetet,Exclude ,Criterion 4,,,,,,
Hiller,2015,Correlation of the National Board of Medical Examiners Emergency Medicine Advanced Clinical Examination Given in July to Intern American Board of Emergency Medicine in-training Examination Scores: A Predictor of Performance?,Exclude ,Criterion 3,,,,,,
Dessouky,2015,Investigation of Various Pavement Repairs in Low-Volume Roads over Expansive Soil,Exclude ,Criterion 4,,,,,,
Pigott,2016,Topiramate for acute affective episodes in bipolar disorder in adults,Exclude ,Criterion 4,,,,,,
van Rooyen,2016,BALANCING THE SCALES - REVISITING THE RELIABILITY OF A GLOBAL RATING SCORE OF ORAL LANGUAGE ASSESSMENT WITHIN A CLINICAL CONTEXT,Exclude ,Criterion 3,,,,,,
Lull,2016,Online Self-testing Resources Prepared by Peer Tutors as a Formative Assessment Tool in Pharmacology Courses,Exclude ,Criterion 3,,,,,,
Kabak,2016,Investigation of The Physical and Functional Needs in Adult Cancer Patients Consulted to Physiotherapy and Rehabilitation,Exclude ,Criterion 3,,,,,,
Moritz,2016,Time trends in quality indicators of colonoscopy,Exclude ,Criterion 3,,,,,,
Garcia-Manso,2016,Effects of intra-set rest on the ability to repeat work at maximal isometric strength,Further Review,,no,,"ten subjects were trained in strength development work (Group Strenght - 23.1 +/- 4.6 years; 172.0 +/- 5.3 cm; 79.9 +/- 12.1 kg; 2175.6 +/- 490.8 N; 46.9 +/- 4.9 mL/kg.min), and ten subjects were trained in endurance work (Group Endurance- 21.3 +/- 4.5 years; 172.4 +/- 4.1 cm; 60.0 +/- 4.6 kg; 815.5 +/- 206.5 N; 67.4 +/- 4.9 mL/kg.min)",n/a,"four different phases were observed in the Interval Maximal Force test during the 20-repetition assessment: potentiation, maintenance, moderate loss, and significant loss. For the GE, the loss in maximum strength capacity began in the fourth repetition",n/a
Edafe,2016,"Impact of a novel teaching method based on feedback, activity, individuality and relevance on students' learning",Exclude ,Criterion 3,,,,,,
FitzGerald,2016,Suppression of scarring in peripheral nerve implants by drug elution,Exclude ,Criterion 3,,,,,,
Wangdell,2016,Rehabilitation After Spasticity-Correcting Upper Limb Surgery in Tetraplegia,Exclude ,Criterion 4,,,,,,
Ross,2016,Physician and other healthcare personnel responses to hospital stroke quality of care performance feedback: a qualitative study,Exclude ,Criterion 2,,,,,,
Gomes,2016,SUPERVISED INTERNSHIP IN GEOGRAPHY: REFLECTIONS AND CRITICISMS CONCERNING A LIVED EXPERIENCESUPERVISED INTERNSHIP IN GEOGRAPHY: REFLECTIONS AND CRITICISMS CONCERNING A LIVED EXPERIENCE,Exclude ,Criterion 3,,,,,,
Hanafi,2016,READINESS FOR INDUSTRIALIZED BUILDING SYSTEM IMPLEMENTATION AMONG MALAYSIAN ARCHITECTURAL FIRMS' MEMBERS,Exclude ,Criterion 2,,,,,,
