firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,performanceMeasure,performanceMeasurePage,experienceMeasure,experienceMeasurePage
Hassan,2006,Improvement of surgical skills after a three-day practical course for laparoscopic surgery,Further Review,,yes,,"The tasks varied from basic laparoscopic skills, such as simple grasping, placing of objects and cutting picture from a paper, in the box to more complicated procedures including simulation of Appendectomy using sponge and intraoperative cholangiography using glove. Furthermore, laparoscopic knot tying, suturing, fundoplication, laparoscopic cholecystectomy and laparoscopic intestinal anastomoses were performed using animal models (alcohol fixed as well as fresh liver with gallbladder)",632,"44 surgical residents who attended the Warnemuende laparoscopic skills course (test group) were divided into two groups: Advanced participants: 18 residents, who had performed more than 50 laparoscopic operations; Novices: 26 residents, who had performed less than 10 laparoscopic operations...a further control group of medical students in their final year (n = 20) with limited laparoscopic experience (camera holder rule) and no formal training were assessed at the time points equivalent to the subject group.",632
Smilde-van,2006,School performance and social-emotional behavior of primary school children before and after a disaster,Exclude,Violates Criterion 4,,,,,,
Ekstrom,2006,"Pain and fractures are independently related to lower walking speed and grip strength - Results from the population study ""Good Ageing in Skine""",Exclude,Violates Criterion 4,,,,,,
Papandrea,2007,Reconstruction for persistent instability of the elbow after coronoid fracture-dislocation,Exclude,Violates Criterion 4,,,,,,
Wilasrusmee,2007,A new vascular anastomosis model: Relation between outcome and experience,Further Review,,yes,,"Subjects were asked to (1) close the end of a 6-mm polytetrafluoroethylene (PTFE) graft, using a continuous suturing technique with 6-0 polypropylene; (2) perform endto-end (Fig. 1) and (3) end-to-side (Fig. 2) anastomoses using the same materials and techniques",209,"Thirty eight surgeons-in-training participated in this study. There were fourteen first-year surgical residents from all subspecialties of surgery, including orthopaedics, cardiac surgery, urology and neurosurgery. All were trained under the same first-year surgical residency program at the Department of Surgery, Ramathibodi Hospital, Mahidol University. Other subjects included one vascular surgery fellow, nine second-year, six third-year, and eight fourtheyear general surgery residents.",209
Schaefer,2007,Experience with new teaching methods and testing in psychiatric training,Exclude,Violates Criterion 2,,,,,,
Berger,2007,"Values of sleep/wake, activity/rest, circadian rhythms, and fatigue prior to adjuvant breast cancer chemotherapy",Exclude,Violates Criterion 4,,,,,,
Innes,2007,Sensory-motor and cognitive tests predict driving ability of persons with brain disorders,Exclude,Violates Criterion 4,,,,,,
Kocak,2007,Outcome of metastatic non-small cell lung carcinoma patients receiving docetaxel-cisplatin combination chemotherapy: single institution experience,Exclude,Violates Criterion 4,,,,,,
McCluney,2007,FLS simulator performance predicts intraoperative laparoscopic skill,Further Review,,yes,,"Subjects’ intraoperative laparoscopic performance was objectively assessed using GOALS. The GOALS tool has been validated for multiple laparoscopic procedures and uses a global ratings scale to measure performance in five domains: depth perception, bimanual dexterity, efficiency, tissue handling, and autonomy.",1993,"Subjects were included if they had undergone both FLS skills testing and intraoperative GOALS assessment, in no particular order, within the same 6-month period. On the basis of these inclusion criteria, analysis of the database identified 40 subjects including 22 novice (PGY 1–2), 10 intermediate (PGY 3–4), and 8 experienced (PGY 5, fellows, and attendings) laparoscopic surgeons.",1992
Izquierdo,2008,Functional capacity evaluation in a clinical and ambulatory setting: new challenges of accelerometry to assessment balance and muscle power in aging population,Exclude,Violates Criterion 4,,,,,,
Newton,2008,Cognitive impairment in primary biliary cirrhosis: Symptom impact and potential etiology,Exclude,Violates Criterion 4,,,,,,
Friedman,2008,Teaching Lifesaving Procedures: The Impact of Model Fidelity on Acquisition and Transfer of Cricothyrotomy Skills to Performance on Cadavers,Further Review,,yes,,"Each subject performed a pretest cricothyrotomy on
embalmed adult human cadavers using an un-cuffed
4 mm I.D Melker set (Cook, Bloomington, IN). . . Within 2 wk of the training session all subjects performed a second cricothyrotomy post-test on a cadaver. The post-test sessions were videotaped in the same, blinded manner.",1664,First and second year anesthesiology residents were recruited for the study and written informed consent was obtained. Subjects who had previously performed or participated in a cricothyrotomy were excluded.,1664
Rhienmora,2009,Providing Objective Feedback on Skill Assessment in a Dental Surgical Training Simulator,Further Review,,yes,,Their task was to perform a tooth preparation on the upper left central incisor with the simulator. Experts and novices performed five trials of the task. The last trial was used for data analysis.,309,"novice or expert, based on a set of recorded important features. Five novices (forth-year dental students, ages 20-22 years) and five experts in prosthodontics (ages 35-45 years) were recruited to participate in this study. All participants were right-handed",309
Pellen,2009,"Construct validity of the ProMIS laparoscopic simulator
",Further Review,,yes,,Subjects were instructed to locate and fix on each of five target boxes distributed around a virtual (computer-generated) abdomen. The task challenged skills of spatial awareness and adaptation to the fulcrum effect.,131,"The most experienced group was comprised of consultant surgeons practising laparoscopic surgery (more than 100 laparoscopic procedures). Senior trainees were recruited from Royal College of Surgeons ‘‘core’’ laparoscopic courses and had previously completed both the basic surgical skills course and the membership of the Royal College of Surgeons (MRCS) diploma. Junior trainees were recruited from regional basic surgical skills courses (BSSC) and were yet to complete the MRCS diploma. The novice group consisted of clinical medical students. At enrolment, all participants were requested to c",131
Bell,2009,Operative Experience of Residents in US General Surgery Programs A Gap Between Expectation and Experience,Exclude,Violates Criterion 2,,,,,,
Van Steenbergen,2009,Is managing the work-family interface worthwhile? Benefits for employee health and performance,Exclude,Violates Criterion 1,,,,,,
Coez,2009,Processing of voices in deafness rehabilitation by auditory brainstem implant,Exclude,Violates Criterion 4,,,,,,
Missiuna,2010,Exploring the Use of Cognitive Intervention for Children with Acquired Brain Injury,Exclude,Violates Criterion 4,,,,,,
Uppal,2010,Resident Competency in Obstetric Anal Sphincter Laceration Repair,Further Review,,yes,,"Three key steps were identified: 1) repair of the internal anal sphincter; 2)selection of proper suture material; and 3) repair of the external anal sphincter, further evaluated using three subcomponents: a) grasping the external sphincter with Allis forceps, b) inclusion of both muscular and the capsular parts of external anal sphincter, and c) the order of suture placement/tying when repairing the external anal sphincter.",306,"After completion of the session, the residents were surveyed regarding their level of training (PGY level), parent training program, prior experience in repairing perineal tears, level of confidence in their repair, and prior experience working with a perineal tear repair model.",307
Forberg,2010,"Subjective and objective sleep and sleepiness among tunnel workers in an extreme and isolated environment: 10-h shifts, 21-day working period, at 78 degrees north",Exclude,Violates Criterion 1,,,,,,
Autorino,2010,Laparoscopic Training in Urology: Critical Analysis of Current Evidence,Exclude,Violates Criterion 4,,,,,,
Schuster,2010,Objectively-assessed outcome measures: a translation and cross-cultural adaptation procedure applied to the Chedoke McMaster Arm and Hand Activity Inventory (CAHAI),Exclude,Violates Criterion 4,,,,,,
Sedlack,2010,The Mayo Colonoscopy Skills Assessment Tool: validation of a unique instrument to assess colonoscopy skills in trainees,Further Review,,yes,,"The development and validity evidence of a unique tool, the Mayo Colonoscopy Skills Assessment Tool (MCSAT), to objectively and continuously assess motor and cognitive colonoscopy skills in trainees are described. The MCSAT form provides a valid means to objectively assess individual cognitive and motor skills in a continuous manner throughout colonoscopy training.",1126,"All gastroenterology fellows performing colonoscopy
as part of their training during this period were included.",1126
Goo,2011,A Computer-Aided Diagnosis for Evaluating Lung Nodules on Chest CT: the Current Status and Perspective,Exclude,Violates Criterion 1,,,,,,
Fox,2011,Do Procedures for Verbal Reporting of Thinking Have to Be Reactive? A Meta-Analysis and Recommendations for Best Reporting Methods,Exclude,Violates Criterion 1,,,,,,
Stenholm,2011,Self-Reported Sleep Duration and Time in Bed as Predictors of Physical Function Decline: Results from the InCHIANTI Study,Exclude,Violates Criterion 4,,,,,,
Lyon,2011,"The Effects of L-Theanine (Suntheanine (R)) on Objective Sleep Quality in Boys with Attention Deficit Hyperactivity Disorder (ADHD): a Randomized, Double-blind, Placebo-controlled Clinical Trial",Exclude,Violates Criterion 4,,,,,,
Pryor,2012,Real-time monitoring of student procrastination in a PSI first-year programming course,Exclude,Violates Criterion 1,,,,,,
Lund,2012,"Effectiveness of IV Cannulation Skills Laboratory Training and Its Transfer into Clinical Practice: A Randomized, Controlled Trial",Further Review,,yes,,"e. In the following, two blinded video assessors evaluated the performance of the students independently using a binary checklist [40] and the global rating form of the Integrated Procedural Protocol Instrument (IPPI), proposed by Kneebone et al. [41] for the assessment of procedural skills in a clinical context",4,"Recruitment of participants took place among first year medical students within their first week of term. All firstyear medical students enrolled at Heidelberg University in the winter term of 2009, aged 18 to 30 years, who agreed to participate were included into the study prior to the randomization procedure.",2
Zhuang ,2012,Evaluation of the prediction performance of the Annual Consultation Meeting on Earthquake Tendency by using the gambling score,Exclude,Violates Criterion 4,,,,,,
Griffiths,2012,Prospective memory and future event simulation in individuals with alcohol dependence,Exclude,Violates Criterion 4,,,,,,
Moiyadi,2012,Feasibility of repeat surgery for pediatric brain tumors: an objective assessment of perioperative outcomes Clinical article,Exclude,Violates Criterion 4,,,,,,
de Blacam,2012,Are residents accurate in their assessments of their own surgical skills?,Further Review,,yes,,"First-year trainees were asked to complete the following: (1) suture repair of a laceration, (2) excision of a subcutaneous lesion, and (3) incision and closure of a laparotomy. Second-year trainees were asked to complete the following: (1) a bowel anastomosis, (2) ligation of the saphenofemoral junction, and (3) basic laparoscopic skills on a high-fidelity ProMIS simulator (Haptica Ltd., Dublin, Ireland). Objective assessment of the trainees’ performance was performed during the task by trained attending-level faculty observers, using objective surgical skills assessment (OSSA) checklists",725,All firstand second-year trainees in the National Basic Surgical Training Program were invited to participate in the study.,725
Castaneda-Villa,2012,Quantification of LLAEP interhemispheric symmetry by the intraclass correlation coefficient as a measure of cortical reorganization after cochlear implantation,Exclude,Violates Criterion 4,,,,,,
Herati,2012,Audio and Visual Analysis of Urologic Laparoscopic and Robotic Skills: Objective Criteria for Surgical Skill Evaluation,Further Review,,yes,,"The forms used for technical evaluation included the validated global rating scale (GRS) and the operation specific rating scale (ORS), both used to evaluate psychomotor technical skill. In addition, a novel cognitive rating scale (CRS) was created to evaluate intraoperative cognitive aspects of laparoscopic surgery",1278,"A total of 11 surgeons were enrolled in this study and categorized into three groups by skill level—novice, intermediate, and expert— based on years of experience and as determined by the lead expert surgeon",1278
Leng,2013,Application of Improved TOPSIS(GATOPSIS) in Evaluating Integrated Transportation Terminals,Exclude,Violates Criterion 4,,,,,,
Leber,2013,What do fast response times tell us about attentional control?,Exclude,Violates Criterion 1,,,,,,
Burgess,2013,Senior medical students as peer examiners in an OSCE,Exclude,Violates Criterion 2,,,,,,
Frischknecht,2013,The Objective Assessment of Experts' and Novices' Suturing Skills Using An Image Analysis Program,Further Review,,yes,,"First, we manually identified the incision line because it acted as the reference point for several of our variables. Thereafter, the program automatically used the color contrast between the dark suture and the lighter skin pad to identify the location of the sutures. After identifying the sutures, the program calculated the geometric variables that we identified for each individual stitch and produced summary data for us to compare between experts and novices.",261,"At the University of Michigan Medical School in 2009, third-year medical students beginning their surgical clerkship participated in an hour-long suturing training session . . . we invited the students (our novices, n = 15) as well as the faculty and residents (our experts, n = 5) to take part in a study that would analyze their suturing technique",261
Keay,2013,"A randomized trial to evaluate the effectiveness of an individual, education-based safe transport program for drivers aged 75 years and older",Exclude,Violates Criterion 4,,,,,,
Hornsby,2013,The Effects of Hearing Aid Use on Listening Effort and Mental Fatigue Associated With Sustained Speech Processing Demands,Exclude,Violates Criterion 4,,,,,,
Garcia-Mata,2013,Chronic Exertional Compartment Syndrome of the Forearm in Adolescents,Exclude,Violates Criterion 4,,,,,,
Larrouy-Maestri,2014,The Effects of Stress on Singing Voice Accuracy,Further Review,,yes,,"The melody the students learned (Figure 2) was inspired by the popular song ‘‘Happy Birthday’’ and created to use the criteria and analysis tools validated by Larrouy-Maestri and Morsomme.4 Audio was picked up by a Sennheiser HS2 headworn microphone (Sennheiser, Wedemark, Germany) positioned at a constant distance of 2 cm from the right corner of the mouth and recorded on a Marantz PMD67 recorder",53,"Thirty-one music students (19 men, 12 women) from the Royal Conservatories of Belgium made up the sample. Their age ranged from 14 to 24 (M ¼ 19.29). To be accepted into these institutions, music students have a singing audition, in addition to their instrumental audition",53
Bharadwaj,2014,A psychophysical technique for estimating the accuracy and precision of retinoscopy,Further Review,,yes,,"The retinoscopy was performed at 65 cm working distance using a standard Heine Beta 200™ streak retinoscope in the plane mirror mode with 1.5 mm diameter sight-hole. . . . Positive values ofaccuracy  indicated  an  overestimation  bias,while negative values indicate an underesti-mation  bias  (Figure 1A).  Precision  corre-sponded  to  the  standard  deviation  of  thepsychometric  function,  with  smaller  stand-ard  deviations  reflecting  steeper  slopes  ofthe psychometric function and higher preci-sion (Figure 1B).",165,"Subjects were divided into five groups basedon the number of years of experienceperforming retinoscopy: zero to 0.9 years(Group 1; n=13), 1.0 to 1.9 years (Group 2;n=16), 2.0 to 3.9 years (Group 3; n=18), 4.0to 5.9 years (Group 4; n=10) and 6.0 yearsand older (Group 5; n=16). Subjects ingroups 1, 2 and 3 were undergraduate stu-dents of optometry from BLSO.",166
Perlini,2014,Simulation-guided cardiac auscultation improves medical students' clinical skills: the Pavia pilot experience,Further Review,,yes,,"To objectively assess the teaching performance of this approach, the capability of identifying five different cardiac diagnoses (atrial septal defect, normal young subject, mitral stenosis with tricuspid regurgitation, chronic mitral regurgitation, and pericarditis) out of more than 50 diagnostic possibilities (Table 1) was assessed, having the students listen twice to the different simulated cardiac ‘‘patients’’.",167,"Over a 3-year period (2008–2011), we enrolled in an experimental class on simulated-guided cardiac auscultation 523 III-year students (i.e. at the very beginning of their clinical experience), 92 VI-year students, and 42 Internal Medicine and Cardiology residents. None of them had previously experienced simulation-based cardiac auscultation in addition to formal lecturing (all three groups) and bedside teaching (VI-year students and residents).",106
Pahor,2014,Effect of Structured Physical Activity on Prevention of Major Mobility Disability in Older Adults The LIFE Study Randomized Clinical Trial,Exclude,Violates Criterion 4,,,,,,
Landes,2014,Long-term prospective teaching effectivity of practical skills training and a first OSCE in Cranio Maxillofacial Surgery for dental students,Further Review,,yes,,"From the second semester on, the novel PST focused on skills, history taking, examination, interpretation of e.g. X-rays and oncology. Each OSCE contained ten stations, i.e. contents were changed to a minor degree.",98,"The practical competences of dental students who underwent their curricular CMF-surgery fellowship within the 8th semester or 4th year were to be evaluated objectively and prospectively. To assess teaching in CMF-surgery, an OSCE was developed and held before and after implementation of a PST-day.",98
Wang,2015,Subjective and objective evaluation of visual fatigue on viewing 3D display continuously,Exclude,Violates Criterion 1,,,,,,
Defranco,2015,Objectively Assessing Concept Maps for Knowledge Integration,Exclude,Violates Criterion 2,,,,,,
Darain,2015,"Antecedent anterior cruciate ligament reconstruction surgery and optimal duration of supervised physiotherapy
",Exclude,Violates Criterion 4,,,,,,
Morris,2015,Assessment of Competence in Surgical Skills Using Functional Magnetic Resonance Imaging: A Feasibility Study,Further Review,,yes,,"Data were analyzed using SPM8 (Statistic Parametric Mapping, Wellcome Trust Centre for Neuroimaging, UCL, UK) running under MATLAB (The MathWorks Inc, USA). The threshold was set at 15 voxels to reduce the likelihood of false recovery rates.",200,The 9 participants were divided into 3 groups based on the number of years of surgical experience and expertise as follows: 3 “Novices”: Undergraduate medical students in years 3 and 4 of a 5-year program who had 4 hours training in knot tying on jigs. 3 “Intermediates”: Senior house officers with at least 2 years of postgraduate surgical experience. 3 “Experts”: Consultant/specialist registrars with at least 5 years of postgraduate surgical experience,199
Hanewinckel,2015,The impact of restless legs syndrome on physical functioning in a community-dwelling population of middle-aged and elderly people,Exclude,Violates Criterion 4,,,,,,
Jirapinyo,2015,Validation of an endoscopic part-task training box as a skill assessment tool,Further Review,,yes,,"Performance of each task is scored for both precision
and speed. Five minutes are allowed for each task. In
4 of the tasks (retroflexion, knob control, torque, and polypectomy) 10 objects must be maneuvered endoscopically,
and each object that is successfully maneuvered is awarded
10 points",969,"There were 7 novices, 7 first-year GI fellows (GI1),
7 second-year GI fellows (GI2), 7 third-year GI fellows
(GI3), 7 attending physicians, and 7 interventional attending physicians.",968
Belda-Salmeron,2015,Objective analysis of contact lens fit,Exclude,Violates Criterion 2,,,,,,
Brinkman,2015,Self-reported confidence in prescribing skills correlates poorly with assessed competence in fourth-year medical students,Exclude,Violates Criterion 2,,,,,,
Eichenberger,2015,Visual Acuity and Experience with Magnification Devices in Swiss Dental Practices,Further Review,,yes,,"The visual acuity of the test persons was measured in their respective private practices. Miniaturized visual tests with E-optotypes, as described and validated in previous studies,21,22 were used. The distance between the three bars of the smallest Eoptotype that could be read corresponded to the smallest detectable dimension.24",143,"A total of 69 dentists from 40 practices participated in the study (n=20, ,40 years; n=49, 40 years).",143
Kotb,2015,Pediatric Online Evidence-Based Medicine Assignment Is a Novel Effective Enjoyable Undergraduate Medical Teaching Tool A SQUIRE Compliant Study,Further Review,,yes,,"Students found an external link to PICO question tutorialand model answers of single and group assignments. Screenswere designed to provide scholar knowledge of EBM, that is,describe concept of EBM, how to formulate a search question(PICO question), search literature, and define the results ofsearch in terms of level of evidence. Each student was expectedto submit a single assignment comprising a structured refer-enced summary of maximum 400 words that contains her/hisargument substantiated and decision.",2,Participants of this study were undergraduate medicalstudents of 5th year Pediatrics Course.,2
Resaland,2015,Active Smarter Kids (ASK): Rationale and design of a cluster-randomized controlled trial investigating the effects of daily physical activity on children's academic performance and risk factors for non-communicable diseases,Exclude,Violates Criterion 4,,,,,,
McGoldrick,2015,"Motion Analysis for Microsurgical Training: Objective Measures of Dexterity, Economy of Movement, and Ability",Further Review,,yes,,"Automatic tracking using ProAnalyst video motion analysis software (Xcitex, Inc., Woburn, Mass.) has been widely used for physiologic analysis from the cellular level to the biomechanical level. It has also been used in ballistics and in automotive safety and engineering. The software automatically determines position, velocity, and angle of a region of interest and graphically represents motion.",232,"Sixteen residents (10 men and six women) were recruited, reflecting 89 percent of the plastic surgery residency program at Stanford University Medical Center. Residents were from each of the postgraduate years (postgraduate year 1, n = 3; postgraduate year 2, n = 3; postgraduate year 3, n = 2; postgraduate year 4, n = 2; postgraduate year 5, n = 3; and postgraduate year 6, n = 3). Reported microsurgical experience ranged from 0 to 80 arterial anastomoses performed. M",235
Rebel,2015,Objective Assessment of Anesthesiology Resident Skills Using an Innovative Competition-Based Simulation Approach,Further Review,,yes,,we assessed anesthesia skill level with an event consisting of 6 workstations. Each workstation presented an objective structured clinical examination (OSCE). The workstations’ content were chosen by faculty consensus based on expectations of what an anesthesiology resident should be able to do after 1 month of introductory anesthesia training.,79,"Our department designed an innovative, competition-based approach to objectively assess the skill level of postgraduate year 1 residents in performing basic anesthesia-related tasks after 1 month of anesthesiology training.",79
Ory,2015,Texercise Effectiveness: Impacts on Physical Functioning and Quality of Life,Exclude,Violates Criterion 4,,,,,,
Basnet,2015,Neurocognitive Problems in Children and Adolescents With Depression Using the CHC Theory and the WJ-III,Exclude,Violates Criterion 4,,,,,,
Glass,2016,Assessment of NDE for Key Indicators of Aging Cables in Nuclear Power Plants - Interim Status,Exclude,Violates Criterion 4,,,,,,
Browning,2016,The use and limits of eye-tracking in high-fidelity clinical scenarios: A pilot study,Further Review,,no,,Coloured dots on the video depicted the participant’s pupil fixation on five targeted areas. Data extracted from the video camera were collated to report time spent on each target (their ‘gaze’).,n/a,Thirty-nine final year nursing and paramedicine students individually participated in three 8 minute clinical simulations with debriefing using videoed eye-tracking recordings.,n/a
Shepherd,2016,A simple scoring system to train surgeons in basic laparoscopic skills,Further Review,,yes,,"Doctors working in the Department of Paediatric Surgery at the John Radcliffe Hospital in Oxford, including consultants and surgical trainees at all levels; were scored on six laparoscopic training tasks over the period of January 2009 to December 2014. The six tasks were based on the MISTELS system",246,"For comparison, surgeons were placed in three groups according to their self-assessment experience scores: \20 (novices), 21–40 (moderate experience) and [40 (experienced)",248
Berber,2016,American Thyroid Association Statement on Remote-Access Thyroid Surgery,Exclude,Violates Criterion 1,,,,,,
Postma,2016,"Cerebral white matter lesions, subjective cognitive failures, and objective neurocognitive functioning: A follow-up study in women after hypertensive disorders of pregnancy",Exclude,Violates Criterion 4,,,,,,
Stewart,2016,Microsurgical skill acquisition in a one-day introductory course with performance evaluation using software-assisted scoring system,Further Review,,yes,,"A digital microscope was used to capture images of the first assessment strip and upload them onto a calibrated, online platform (Figure 1). Sutures were analysed with regard to their band scores, the optimal spacing between sutures and the ‘deviation-score’ and the linear alignment between the knots.",784,"The study included 19 subjects with little or no previous microsurgical experience, of varied stages of their postgraduate training (foundation year doctor through to core surgical trainee and specialist registrar level).",784
Serrallach,2016,"Neural Biomarkers for Dyslexia, ADHD, and ADD in the Auditory Cortex of Children",Exclude,Violates Criterion 4,,,,,,
Chen,2016,The Present Research and Prospect of Chinese Geosciences History,Exclude,Violates Criterion 2,,,,,,
da Cruz,2016,Five-Year Safety and Performance Results from the Argus II Retinal Prosthesis System Clinical Trial,Exclude,Violates Criterion 4,,,,,,
Martin,2016,Arthroscopic Training Courses Improve Trainee Arthroscopy Skills: A Simulation-Based Prospective Trial,Further Review,,yes,,"A prospective observational study was performed in which trainees, on arrival to the course, were tested on a validated arthroscopy shoulder simulator. During the course, they were not allowed any exposure to the simulator. On completion of the course, they immediately underwent a repeat evaluation on the simulator.",2229,99 orthopaedic surgery trainees of various postgraduate years (PGYs) were invited to participate in this study between October 2013 and June 2014. ,2229
Schoenberger,2017,Brain lesion correlates of fatigue in individuals with traumatic brain injury,Exclude,Violates Criterion 4,,,,,,
Marini,2017,Robot-aided developmental assessment of wrist proprioception in children,Exclude,Violates Criterion 4,,,,,,
Christoph,2017,"Physical Activity, Sleep, and BMI Percentile in Rural and Urban Ugandan Youth",Exclude,Violates Criterion 4,,,,,,
Romero,2017,Intracorporal knot tying techniques - which is the right one?,Further Review,,yes,,"Knot quality, performance, total time, and suture placement accuracy were the parameters for assessment in this study. Total time (minutes) was measured from the moment the needle was loaded onto the needle holder to when the suture was placed and secured with three throws. The knot quality was assessed using a quantifiable fivepoint scale as previously described by Muresan et al.",635,The first group (n = 5) consisted of senior physicians with previous experience of N100 laparoscopic interventions and N20 laparoscopic sutures. The second group (n = 5) was made up of surgical residents in the first four years of residency training. These participants had previously performed N10 laparoscopic interventions and b20 laparoscopic sutures. The third group (n = 10) contained medical students between their third and sixth year of study without any prior experience in laparoscopic surgery,634
Baumgart,2017,Tablet computer enhanced training improves internal medicine exam performance,Exclude,Violates Criterion 3,,,,,,
Imam,2017,The building performance gap: Are modellers literate?,Further Review,,yes,,"s. A total of 108 building modellers were asked to comment on the importance of obtaining and using accurate values for 21 common modelling input variables, from U-values to occupancy schedules when using dynamic simulation to estimate annual energy demand. The questioning was based on a real building for which high-resolution energy, occupancy and temperature data were recorded. A sensitivity analysis was then conducted using a model of the building (based on the measured data) by perturbing one parameter in each simulation",351,"Figure 9 shows the nature of the participants, in terms of years of experience within the construction industry. The highest academic degree achieved related to this field was reported as: bachelors (34 participants), masters (66), PhD (8). Eighty per cent of respondents selected IES VE as the simulation software they used for energy analysis.",360-361
Stubbs,2017,Relationship Between Objectively Measured Sedentary Behavior and Cognitive Performance in Patients With Schizophrenia Vs Controls,Exclude,Violates Criterion 4,,,,,,
Inayah,2017,Objectivity in subjectivity: do students' self and peer assessments correlate with examiners' subjective and objective assessment in clinical skills? A prospective study,Exclude,Violates Criterion 2,,,,,,
Goonewardene,2017,The Da Vinci Xi and robotic radical prostatectomy-an evolution in learning and technique,Exclude,Violates Criterion 4,,,,,,
